"","Arousal","Valence","Identifier","Color"
"X004_o_m_a_a.png",0.85,-1.55,"Negative faces","orange"
"X006_y_m_a_a.png",1.55,-0.75,"Negative faces","orange"
"X079_o_f_a_a.png",0.775,-1.25,"Negative faces","orange"
"X116_m_m_a_a.png",1.7,-0.2,"Negative faces","orange"
"X140_y_f_a_a.png",1.4,-0.85,"Negative faces","orange"
"AD_9681.lo.png",0.3,-1.55,"Negative faces","orange"
"AF01_AC.png",0.55,-1.5,"Negative faces","orange"
"AF01_AO.png",1.45,-0.65,"Negative faces","orange"
"AF01ANS.png",0.95,-1.4,"Negative faces","orange"
"AF02_AC.png",-0.0476190476190476,-0.857142857142857,"Negative faces","orange"
"AF02_AO.png",1.3,-1.2,"Negative faces","orange"
"AF02ANS.png",1.05,-1.35,"Negative faces","orange"
"AF03_AC.png",1.05,-1.45,"Negative faces","orange"
"AF03_AO.png",1.175,-1.3,"Negative faces","orange"
"AF03ANS.png",0.9,-1.65,"Negative faces","orange"
"AF04ANS.png",0.7,-1.3,"Negative faces","orange"
"AF05_AC.png",0.55,-1.35,"Negative faces","orange"
"AF05_AO.png",1.05,-1.35,"Negative faces","orange"
"AF05ANS.png",0.95,-1.5,"Negative faces","orange"
"AF06_AC.png",1,-1.55,"Negative faces","orange"
"AF06_AO.png",1.5,-1.3,"Negative faces","orange"
"AF06ANS.png",1.2,-1.4,"Negative faces","orange"
"AF07_AC.png",1.05,-1.625,"Negative faces","orange"
"AF07_AO.copy.png",1.6,-0.8,"Negative faces","orange"
"AF07ANS.png",1.35,-1.15,"Negative faces","orange"
"AF08_AC.png",0.625,-1.7,"Negative faces","orange"
"AF08_AO.png",1.25,-1.15,"Negative faces","orange"
"AF08ANS.png",0.7,-1.15,"Negative faces","orange"
"AF09_AC.png",0.80952380952381,-1.61904761904762,"Negative faces","orange"
"AF09_AO.png",0.80952380952381,-1.52380952380952,"Negative faces","orange"
"AF09ANS.png",1.3,-1.35,"Negative faces","orange"
"AF10_AC.png",0.3,-0.95,"Negative faces","orange"
"AF10_AO.png",1.4,-1.4,"Negative faces","orange"
"AF10ANS.png",1.15,-1.375,"Negative faces","orange"
"AF11_AC.png",0.8,-1.45,"Negative faces","orange"
"AF11_AO.png",1.25,-1.25,"Negative faces","orange"
"AF11ANS.png",1.1,-1.35,"Negative faces","orange"
"AF12_AC.png",0.4,-1.4,"Negative faces","orange"
"AF12_AO.png",1.23809523809524,-0.952380952380952,"Negative faces","orange"
"AF12ANS.png",0.6,-1.2,"Negative faces","orange"
"AF13ANS.png",1.05,-1.4,"Negative faces","orange"
"AF14ANS.png",0.904761904761905,-1.66666666666667,"Negative faces","orange"
"AF15ANS.png",1.175,-1.325,"Negative faces","orange"
"AF16ANS.png",1.175,-1.1,"Negative faces","orange"
"AF17ANS.png",1.025,-1.425,"Negative faces","orange"
"AF18ANS.png",0.55,-1,"Negative faces","orange"
"AF19ANS.png",1.05,-1.2,"Negative faces","orange"
"AF20ANS.png",1.25,-1.5,"Negative faces","orange"
"AF21ANS.png",1.3,-1.3,"Negative faces","orange"
"AF22ANS.png",0.85,-1.35,"Negative faces","orange"
"AF23ANS.png",0.55,-1.85,"Negative faces","orange"
"AF24ANS.png",0.75,-1.65,"Negative faces","orange"
"AF25ANS.png",1.225,-1.15,"Negative faces","orange"
"AF26ANS.png",0.8,-1.1,"Negative faces","orange"
"AF27ANS.png",0.775,-1.325,"Negative faces","orange"
"AF28ANS.png",1.25,-1.15,"Negative faces","orange"
"AF29ANS.png",1.3,-1.3,"Negative faces","orange"
"AF30ANS.png",0.75,-1.175,"Negative faces","orange"
"AF31ANS.png",1.85,-0.65,"Negative faces","orange"
"AF32ANS.png",0.45,-1.3,"Negative faces","orange"
"AF33ANS.png",1.65,-0.9,"Negative faces","orange"
"AF34ANS.png",0.65,-1.25,"Negative faces","orange"
"AF35ANS.png",1.5,-1.05,"Negative faces","orange"
"AG_1314.png",1.35,-1.25,"Negative faces","orange"
"AM01_AC.png",0.9,-1.55,"Negative faces","orange"
"AM01_AO.png",1.15,-1.35,"Negative faces","orange"
"AM01ANS.png",0.45,-1.45,"Negative faces","orange"
"AM02_AC.png",1.35,-1.1,"Negative faces","orange"
"AM02_AO.png",1.70731707317073,-0.560975609756098,"Negative faces","orange"
"AM02ANS.png",0.85,-1.65,"Negative faces","orange"
"AM03_AC.png",0.3,-1.05,"Negative faces","orange"
"AM03_AO.png",1.775,-0.85,"Negative faces","orange"
"AM03ANS.png",1.725,-0.325,"Negative faces","orange"
"AM04_AC.png",0.3,-1.25,"Negative faces","orange"
"AM04_AO.png",1.35,-1.15,"Negative faces","orange"
"AM04ANS.png",1.2,-1.25,"Negative faces","orange"
"AM05_AC.png",-0.380952380952381,-0.428571428571429,"Negative faces","orange"
"AM05_AO.png",1.2,-0.95,"Negative faces","orange"
"AM05ANS.png",1.55,-1.15,"Negative faces","orange"
"AM06_AC.png",0.952380952380952,-1.28571428571429,"Negative faces","orange"
"AM06_AO.png",1.05,-1.5,"Negative faces","orange"
"AM06ANS.png",1.38095238095238,-1.57142857142857,"Negative faces","orange"
"AM07_AC.png",0.560975609756098,-1.29268292682927,"Negative faces","orange"
"AM07_AO.png",1.4,-1.55,"Negative faces","orange"
"AM07ANS.png",1.2,-1.5,"Negative faces","orange"
"AM08_AC.png",0.175,-1.475,"Negative faces","orange"
"AM08_AO.png",0.8,-1.35,"Negative faces","orange"
"AM08ANS.png",1.25,-1.525,"Negative faces","orange"
"AM09_AC.png",0.5,-1.4,"Negative faces","orange"
"AM09_AO.png",1.05,-1.6,"Negative faces","orange"
"AM09ANS.png",1.42857142857143,-1,"Negative faces","orange"
"AM10_AC.png",0.3,-1.65,"Negative faces","orange"
"AM10_AO.png",0.7,-1.45,"Negative faces","orange"
"AM10ANS.png",1.52380952380952,-0.380952380952381,"Negative faces","orange"
"AM11_AC.png",0.75,-1.65,"Negative faces","orange"
"AM11_AO.png",0.682926829268293,-1.53658536585366,"Negative faces","orange"
"AM11ANS.png",0.904761904761905,-1.57142857142857,"Negative faces","orange"
"AM12ANS.png",1.1,-1.55,"Negative faces","orange"
"AM13ANS.png",1.19047619047619,-0.904761904761905,"Negative faces","orange"
"AM14ANS.png",0.65,-1.6,"Negative faces","orange"
"AM15ANS.png",1.45,-0.85,"Negative faces","orange"
"AM16ANS.png",1.25,-1.4,"Negative faces","orange"
"AM17ANS.png",2,-0.1,"Negative faces","orange"
"AM18ANS.png",1.75,-0.35,"Negative faces","orange"
"AM19ANS.png",1.4,-0.85,"Negative faces","orange"
"AM20ANS.png",1.2,-1.45,"Negative faces","orange"
"AM21ANS.png",0.4,-1.55,"Negative faces","orange"
"AM22ANS.png",1.1,-1.275,"Negative faces","orange"
"AM23ANS.png",1.35,-1.05,"Negative faces","orange"
"AM24ANS.png",1.05,-1.55,"Negative faces","orange"
"AM25ANS.png",0.35,-1.35,"Negative faces","orange"
"AM26ANS.png",1.05,-0.85,"Negative faces","orange"
"AM27ANS.png",0.6,-1.325,"Negative faces","orange"
"AM28ANS.png",1.8,-0.6,"Negative faces","orange"
"AM29ANS.png",1.55,-0.8,"Negative faces","orange"
"AM30ANS.png",1.2,-1.3,"Negative faces","orange"
"AM31ANS.png",1.3,-1.3,"Negative faces","orange"
"AM32ANS...Copy.png",1.3,-1.2,"Negative faces","orange"
"AM34ANS.png",1.2,-1.55,"Negative faces","orange"
"AM35ANS.png",0.80952380952381,-1.42857142857143,"Negative faces","orange"
"BF01_AC.png",0.3,-1.25,"Negative faces","orange"
"BF01_AO.png",0.95,-1.4,"Negative faces","orange"
"BF02_AC.png",0,-1.1,"Negative faces","orange"
"BF02_AO.png",0.45,-1.25,"Negative faces","orange"
"BF03_AC.png",0.6,-1.5,"Negative faces","orange"
"BF03_AO.png",1.4,-1.5,"Negative faces","orange"
"BF04_AC.png",1.275,-1.45,"Negative faces","orange"
"BF04_AO.png",1.25,-1.35,"Negative faces","orange"
"BF05_AC.png",1.1,-1.35,"Negative faces","orange"
"BF05_AO.png",1.35,-0.8,"Negative faces","orange"
"BF06_AC.png",1.25,-1.4,"Negative faces","orange"
"BF06_AO.png",1.5,-1.15,"Negative faces","orange"
"BF07_AC.png",1,-1.35,"Negative faces","orange"
"BF07_AO.png",1.15,-0.95,"Negative faces","orange"
"BF08_AC.png",0.55,-1.55,"Negative faces","orange"
"BF08_AO.png",1.45,-1.25,"Negative faces","orange"
"BF09_AC.png",0.7,-1.55,"Negative faces","orange"
"BF09_AO.png",1.6,-0.85,"Negative faces","orange"
"BF10_AC.png",0.8,-1.45,"Negative faces","orange"
"BF10_AO.png",1.55,-0.65,"Negative faces","orange"
"BF12_AC.png",0.05,-1,"Negative faces","orange"
"BF12_AO.png",0.80952380952381,-1.38095238095238,"Negative faces","orange"
"BF13_AO.png",0.9,-0.65,"Negative faces","orange"
"BF14_AC.png",1.15,-0.95,"Negative faces","orange"
"BF14_AO.png",1.6,-0.75,"Negative faces","orange"
"BF15_AC.png",1.2,-1.5,"Negative faces","orange"
"BF15_AO.png",1.25,-1,"Negative faces","orange"
"BF16_AC.png",0.55,-1.2,"Negative faces","orange"
"BF16_AO.png",1.7,-0.7,"Negative faces","orange"
"BF17_AC.png",0.45,-1.1,"Negative faces","orange"
"BF17_AO.png",0.523809523809524,-1.14285714285714,"Negative faces","orange"
"BF18_AC.png",1.6,-1.2,"Negative faces","orange"
"BF18_AO.png",1.4,-1.15,"Negative faces","orange"
"BF19_AC.png",0.95,-1.4,"Negative faces","orange"
"BF19_AO.png",0.65,-0.5,"Negative faces","orange"
"BF20_AC.png",0.125,-1.175,"Negative faces","orange"
"BF20_AO.png",1,-1.4,"Negative faces","orange"
"BF21_AC.png",0.666666666666667,-1.52380952380952,"Negative faces","orange"
"BF21_AO.png",1.25,-0.85,"Negative faces","orange"
"BM01_AC.png",0.25,-1.15,"Negative faces","orange"
"BM01_AO.png",1.1,-1.4,"Negative faces","orange"
"BM02_AC.png",0.5,-1.15,"Negative faces","orange"
"BM02_AO.png",1.6,-0.7,"Negative faces","orange"
"BM03_AC.png",0.3,-1.75,"Negative faces","orange"
"BM03_AO.png",1.2,-1.325,"Negative faces","orange"
"BM04_AC.png",1.05,-1.25,"Negative faces","orange"
"BM04_AO.png",1.8,-0.6,"Negative faces","orange"
"BM05_AC.png",1.475,-1.375,"Negative faces","orange"
"BM05_AO.png",1.6,-0.55,"Negative faces","orange"
"BM06_AC.png",0.9,-1.55,"Negative faces","orange"
"BM06_AO.png",1.2,-1.25,"Negative faces","orange"
"BM07_AC.png",1.15,-1.35,"Negative faces","orange"
"BM07_AO.png",2.1,-0.3,"Negative faces","orange"
"BM08_AC.png",0.65,-1.5,"Negative faces","orange"
"BM08_AO.png",1.725,-0.875,"Negative faces","orange"
"BM09_AC.png",0.952380952380952,-1.57142857142857,"Negative faces","orange"
"BM09_AO.png",1.35,-0.45,"Negative faces","orange"
"BM11_AC.png",0.8,-1.5,"Negative faces","orange"
"BM11_AO.png",1.9,-0.25,"Negative faces","orange"
"BM12_AC.png",0.6,-0.8,"Negative faces","orange"
"BM12_AO.png",0.5,-0.75,"Negative faces","orange"
"BM13_AC.png",0.3,-0.4,"Negative faces","orange"
"BM13_AO.png",1.45,-0.9,"Negative faces","orange"
"BM14_AC.png",0.2,-1.15,"Negative faces","orange"
"BM14_AO.png",0.55,-1.35,"Negative faces","orange"
"BM15_AC.png",0.425,-1.1,"Negative faces","orange"
"BM15_AO.png",1.0952380952381,-0.952380952380952,"Negative faces","orange"
"BM16_AC.png",1.04761904761905,-1.47619047619048,"Negative faces","orange"
"BM16_AO.png",1.3,-1.1,"Negative faces","orange"
"BM17_AC.png",1.45,-0.9,"Negative faces","orange"
"BM17_AO.png",1.7,-0.6,"Negative faces","orange"
"BM18_AC.png",0.45,-1.4,"Negative faces","orange"
"BM18_AO.png",1.2,-1,"Negative faces","orange"
"CFD.BF.001.026.A.png",0.85,-1.55,"Negative faces","orange"
"CFD.BF.002.018.A.png",0.875,-1.5,"Negative faces","orange"
"CFD.BF.003.016.A.png",0.3,-1.55,"Negative faces","orange"
"CFD.BF.004.021.A.png",0.65,-1.5,"Negative faces","orange"
"CFD.BM.001.022.A.png",1.225,-1.425,"Negative faces","orange"
"CFD.BM.002.016.A.png",0.85,-1.55,"Negative faces","orange"
"CFD.BM.003.030.A.png",0.7,-1.35,"Negative faces","orange"
"CFD.BM.005.010.A.png",0.4,-1.1,"Negative faces","orange"
"CFD.BM.009.008.A.png",0.7,-1.5,"Negative faces","orange"
"CFD.BM.010.019.A.png",0.25,-0.85,"Negative faces","orange"
"CFD.BM.011.020.A.png",1.25,-1.5,"Negative faces","orange"
"CFD.WF.001.016.A.png",0.6,-1.5,"Negative faces","orange"
"CFD.WF.002.033.A.png",0.15,-0.8,"Negative faces","orange"
"CFD.WF.003.014.A.png",0.65,-1.4,"Negative faces","orange"
"CFD.WF.005.022.A.png",0.8,-1.4,"Negative faces","orange"
"CFD.WF.006.019.A.png",0.575,-1.15,"Negative faces","orange"
"CFD.WF.007.029.A.png",0.75,-1.65,"Negative faces","orange"
"CFD.WF.008.011.A.png",0.35,-1.35,"Negative faces","orange"
"CFD.WF.009.010.A.png",0.525,-1.325,"Negative faces","orange"
"CFD.WF.010.014.A.png",0.4,-1.25,"Negative faces","orange"
"CFD.WF.011.011.A.png",0.95,-1.35,"Negative faces","orange"
"CFD.WF.012.012.A.png",0.1,-1.05,"Negative faces","orange"
"CFD.WF.013.015.A.png",0.425,-1.15,"Negative faces","orange"
"CFD.WF.014.012.A.png",0.2,-0.45,"Negative faces","orange"
"CFD.WF.015.014.A.png",0.75,-1.2,"Negative faces","orange"
"CFD.WF.016.021.A.png",0.55,-1.55,"Negative faces","orange"
"CFD.WF.017.023.A.png",0.5,-1,"Negative faces","orange"
"CFD.WF.018.012.A.png",0.666666666666667,-1.23809523809524,"Negative faces","orange"
"CFD.WF.019.015.A.png",0.55,-1.35,"Negative faces","orange"
"CFD.WF.021.018.A.png",0.7,-1.5,"Negative faces","orange"
"CFD.WF.022.023.A.png",0.65,-1.55,"Negative faces","orange"
"CFD.WF.023.013.A.png",0.8,-1.4,"Negative faces","orange"
"CFD.WF.024.029.A.png",1.1,-0.9,"Negative faces","orange"
"CFD.WF.025.015.A.png",0.6,-1.3,"Negative faces","orange"
"CFD.WF.027.014.A.png",0.55,-1.55,"Negative faces","orange"
"CFD.WF.028.026.A.png",0.761904761904762,-1.28571428571429,"Negative faces","orange"
"CFD.WF.029.026.A.png",0.7,-1.1,"Negative faces","orange"
"CFD.WF.030.033.A.png",1.05,-1.475,"Negative faces","orange"
"CFD.WF.031.015.A.png",1.15,-1.4,"Negative faces","orange"
"CFD.WF.033.031.A.png",0.65,-1.35,"Negative faces","orange"
"CFD.WF.034.016.A.png",0.8,-1.55,"Negative faces","orange"
"CFD.WF.035.033.A.png",0.8,-1.4,"Negative faces","orange"
"CFD.WF.036.015.A.png",0.5,-1.3,"Negative faces","orange"
"CFD.WF.037.016.A.png",0.9,-1.6,"Negative faces","orange"
"CFD.WF.038.030.A.png",0.55,-1.2,"Negative faces","orange"
"CFD.WF.039.032.A.png",0.15,-1.05,"Negative faces","orange"
"CFD.WM.002.017.A.png",0.5,-1.15,"Negative faces","orange"
"CFD.WM.003.008.A.png",0.25,-0.9,"Negative faces","orange"
"CFD.WM.004.011.A.png",1,-1.3,"Negative faces","orange"
"CFD.WM.006.022.A.png",0,-1.25,"Negative faces","orange"
"CFD.WM.009.009.A.png",0.55,-1.3,"Negative faces","orange"
"CFD.WM.010.016.A.png",0.3,-1.3,"Negative faces","orange"
"CFD.WM.011.011.A.png",0.1,-1.35,"Negative faces","orange"
"CFD.WM.012.015.A.png",0.45,-1.35,"Negative faces","orange"
"CFD.WM.013.015.A.png",0.2,-1.2,"Negative faces","orange"
"CFD.WM.014.013.A.png",0.45,-0.9,"Negative faces","orange"
"CFD.WM.015.017.A.png",-0.05,-0.65,"Negative faces","orange"
"CFD.WM.016.008.A.png",0.925,-1.525,"Negative faces","orange"
"CFD.WM.017.011.A.png",0,-1,"Negative faces","orange"
"CFD.WM.018.007.A.png",0.35,-1.05,"Negative faces","orange"
"CFD.WM.019.013.A.png",0.8,-1.5,"Negative faces","orange"
"CFD.WM.020.008.A.png",0.95,-1.5,"Negative faces","orange"
"CFD.WM.021.009.A.png",0.9,-1.35,"Negative faces","orange"
"CFD.WM.022.008.A.png",0.15,-1.2,"Negative faces","orange"
"CFD.WM.023.012.A.png",0.5,-1.375,"Negative faces","orange"
"CFD.WM.024.010.A.png",0.8,-1.6,"Negative faces","orange"
"CFD.WM.025.008.A.png",1.2,-1.35,"Negative faces","orange"
"CFD.WM.026.019.A.png",0.65,-1.35,"Negative faces","orange"
"CFD.WM.028.029.A.png",0.55,-1.4,"Negative faces","orange"
"CFD.WM.029.014.A.png",0.35,-1,"Negative faces","orange"
"CFD.WM.031.045.A.png",1,-1.25,"Negative faces","orange"
"CFD.WM.032.014.A.png",0.35,-1,"Negative faces","orange"
"CFD.WM.033.014.A.png",0.25,-1.15,"Negative faces","orange"
"CFD.WM.034.040.A.png",0.65,-1.5,"Negative faces","orange"
"CFD.WM.035.018.A.png",0.65,-1.25,"Negative faces","orange"
"CFD.WM.036.018.A.png",0.829268292682927,-1.51219512195122,"Negative faces","orange"
"CFD.WM.037.060.A.png",1.05,-1.2,"Negative faces","orange"
"CFD.WM.038.011.A.png",1.3,-1.15,"Negative faces","orange"
"CFD.WM.039.010.A.png",0.2,-1.55,"Negative faces","orange"
"CFD.WM.040.007.A.png",0.85,-1.25,"Negative faces","orange"
"CFD.WM.041.009.A.png",0.5,-1.575,"Negative faces","orange"
"DC_1317_E.png",1.5,-1.35,"Negative faces","orange"
"HF01_AC.png",0.3,-1.15,"Negative faces","orange"
"HF01_AO.png",0.55,-1.35,"Negative faces","orange"
"HF02_AC.png",0.45,-1,"Negative faces","orange"
"HF02_AO.png",1.55,-0.75,"Negative faces","orange"
"HF03_AC.png",0.5,-1.05,"Negative faces","orange"
"HF03_AO.png",1.1,-1.35,"Negative faces","orange"
"HF04_AC.png",0.35,-1.2,"Negative faces","orange"
"HF04_AO.png",0.85,-1.375,"Negative faces","orange"
"HF05_AC.png",1.4,-1.15,"Negative faces","orange"
"HF05_AO.png",1.75,-0.5,"Negative faces","orange"
"HF07_AC.png",0.35,-1,"Negative faces","orange"
"HF07_AO.png",0.15,-0.65,"Negative faces","orange"
"HF08_AC.png",0.25,-1.25,"Negative faces","orange"
"HF08_AO.png",0.8,-1.75,"Negative faces","orange"
"HF09_AC.png",0.8,-1.6,"Negative faces","orange"
"HF09_AO.png",1.25,-1.1,"Negative faces","orange"
"HF10_AC.png",0.55,-1.35,"Negative faces","orange"
"HF10_AO.png",1.5,-0.95,"Negative faces","orange"
"HM01_AC.png",0.4,-1.2,"Negative faces","orange"
"HM01_AO.png",0.75,-1.2,"Negative faces","orange"
"HM02_AC.png",1,-1.35,"Negative faces","orange"
"HM02_AO.png",1.35,-1.3,"Negative faces","orange"
"HM03_AC.png",0.2,-1.15,"Negative faces","orange"
"HM03_AO.png",1.1,-1.15,"Negative faces","orange"
"HM04_AC.png",0.9,-1.4,"Negative faces","orange"
"HM04_AO.png",1.1,-1.5,"Negative faces","orange"
"HM05_AC.png",1.70731707317073,-0.390243902439024,"Negative faces","orange"
"HM05_AO.png",1.8,-0.2,"Negative faces","orange"
"HM06_AC.png",1.15,-1.05,"Negative faces","orange"
"HM06_AO.png",1.8,-0.8,"Negative faces","orange"
"HM07_AC.png",0.4,-1.35,"Negative faces","orange"
"HM07_AO.png",2,-0.65,"Negative faces","orange"
"HM08_AC.png",0.8,-1.2,"Negative faces","orange"
"HM08_AO.png",1.5,-0.975,"Negative faces","orange"
"HM09_AC.png",0.85,-1.45,"Negative faces","orange"
"HM09_AO.png",1.7,-0.65,"Negative faces","orange"
"HM10_AC.png",-0.2,-1.2,"Negative faces","orange"
"HM10_AO.png",1.15,-1.5,"Negative faces","orange"
"HM11_AC.png",0.19047619047619,-1.33333333333333,"Negative faces","orange"
"HM11_AO.png",0.95,-1.45,"Negative faces","orange"
"HW_1612.png",1.05,-1.25,"Negative faces","orange"
"JG_2291.png",0.95,-1.65,"Negative faces","orange"
"JS_2296.png",1,-1.5,"Negative faces","orange"
"KA_1616.png",1.25,-1.3,"Negative faces","orange"
"KL_1182.png",0.75,-1.45,"Negative faces","orange"
"KM_0620.png",1.55,-0.75,"Negative faces","orange"
"KO_0251.png",1.05,-1.25,"Negative faces","orange"
"KP_0760.png",1.2,-1,"Negative faces","orange"
"MB_1210.png",1.52380952380952,-0.476190476190476,"Negative faces","orange"
"MG_1317.png",1.05,-1.25,"Negative faces","orange"
"MJ_0152.png",1.15,-1.35,"Negative faces","orange"
"MK_0173.png",1.05,-1.2,"Negative faces","orange"
"MR_2450.png",0.8,-1.15,"Negative faces","orange"
"MR1_1802.png",0.95,-1.55,"Negative faces","orange"
"MS_0695.png",1.05,-1.45,"Negative faces","orange"
"OG_6484.png",1.04761904761905,-1.33333333333333,"Negative faces","orange"
"PA_0967.png",1.2,-1.1,"Negative faces","orange"
"PB_0314.png",1.6,-0.95,"Negative faces","orange"
"PO_0951.png",1.55,-1,"Negative faces","orange"
"PS_0100.png",0.7,-1.5,"Negative faces","orange"
"RA_1786.png",0.95,-1.65,"Negative faces","orange"
"RB_0586.png",0.8,-1.6,"Negative faces","orange"
"SO_0071.png",1.7,-0.85,"Negative faces","orange"
"SS0302.png",0.714285714285714,-1.28571428571429,"Negative faces","orange"
"WF01_AC.png",0.55,-1.55,"Negative faces","orange"
"WF01_AO.png",1.45,-1.05,"Negative faces","orange"
"WF02_AC.png",0.714285714285714,-1.47619047619048,"Negative faces","orange"
"WF02_AO.png",1.6,-1.1,"Negative faces","orange"
"WF03_AC.png",0.35,-1.1,"Negative faces","orange"
"WF03_AO.png",1.7,-0.75,"Negative faces","orange"
"WF04_AC.png",0.666666666666667,-1.57142857142857,"Negative faces","orange"
"WF04_AO.png",1.7,-1,"Negative faces","orange"
"WF05_AC.png",0.7,-1.3,"Negative faces","orange"
"WF05_AO.png",1.225,-1.15,"Negative faces","orange"
"WF06_AC.png",0.4,-1.25,"Negative faces","orange"
"WF06_AO.png",1.2,-1.5,"Negative faces","orange"
"WF07_AC.png",0.85,-1.2,"Negative faces","orange"
"WF07_AO.png",0.829268292682927,-1.53658536585366,"Negative faces","orange"
"WF08_AC.png",-0.55,1.3,"Negative faces","orange"
"WF08_AO.png",0.4,0.35,"Negative faces","orange"
"WF10_AC.png",0.7,-1.35,"Negative faces","orange"
"WF10_AO.png",1.55,-1,"Negative faces","orange"
"WF11_AC.png",0.9,-1.5,"Negative faces","orange"
"WF11_AO.png",1.3,-1.35,"Negative faces","orange"
"WF12_AC.png",1.05,-1.3,"Negative faces","orange"
"WF12_AO.png",1.375,-1.025,"Negative faces","orange"
"WF13_AC.png",0.55,-1.25,"Negative faces","orange"
"WF13_AO.png",1.05,-1,"Negative faces","orange"
"WF14_AC.png",1.1,-1.25,"Negative faces","orange"
"WF14_AO.png",1.5,-0.95,"Negative faces","orange"
"WF15_AC.png",0.475,-1.25,"Negative faces","orange"
"WF15_AO.png",1.05,-1.2,"Negative faces","orange"
"WM01_AC.png",0.85,-1.525,"Negative faces","orange"
"WM01_AO.png",1.55,-0.7,"Negative faces","orange"
"WM02_AC.png",0.6,-1.55,"Negative faces","orange"
"WM02_AO.png",1.25,-1.1,"Negative faces","orange"
"WM03_AC.png",0.7,-1.6,"Negative faces","orange"
"WM03_AO.png",1.425,-1.225,"Negative faces","orange"
"WM04_AC.png",0.55,-1.05,"Negative faces","orange"
"WM04_AO.png",1.57142857142857,-0.857142857142857,"Negative faces","orange"
"WM05_AC.png",0.75,-1.3,"Negative faces","orange"
"WM05_AO.png",1.3,-0.7,"Negative faces","orange"
"WM06_AC.png",1.1,-1.8,"Negative faces","orange"
"WM06_AO.png",1.95,-0.5,"Negative faces","orange"
"WM07_AC.png",1.45,-1.1,"Negative faces","orange"
"WM07_AO.png",2,-0.3,"Negative faces","orange"
"WM08_AC.png",0.35,-1,"Negative faces","orange"
"WM08_AO.png",1.25,-1.45,"Negative faces","orange"
"WM09_AC.png",0.575,-1.375,"Negative faces","orange"
"WM09_AO.png",1.3,-1.05,"Negative faces","orange"
"WM10_AC.png",1.3,-1.1,"Negative faces","orange"
"WM10_AO.png",1.6,-0.55,"Negative faces","orange"
"WM11_AC.png",0.45,-1.1,"Negative faces","orange"
"WM11_AO.png",1.5,-0.8,"Negative faces","orange"
"WM12_AC.png",0.4,-0.95,"Negative faces","orange"
"WM12_AO.png",0.7,-1.2,"Negative faces","orange"
"WM13_AC.png",1.6,-0.5,"Negative faces","orange"
"WM13_AO.png",2.15,-0.4,"Negative faces","orange"
"AD_7950.png",-0.15,1.05,"Positive faces","purple"
"AF01_HC.png",-0.65,1.2,"Positive faces","purple"
"AF01_HO.png",-0.5,1.3,"Positive faces","purple"
"AF02_HC.png",-0.1,1.3,"Positive faces","purple"
"AF02_HO.png",-0.4,1.7,"Positive faces","purple"
"AF03_HC.png",-0.95,1.05,"Positive faces","purple"
"AF03_HO.png",-0.25,1.7,"Positive faces","purple"
"AF05_HC.png",-0.9,0.95,"Positive faces","purple"
"AF05_HO.png",-0.35,1.45,"Positive faces","purple"
"AF06_HC.png",-1.85714285714286,1.19047619047619,"Positive faces","purple"
"AF06_HO.png",-0.8,1.35,"Positive faces","purple"
